property_name,property_sub_name,facilities,nearby,advantages,price_details,link,tags
smartworld one dxp,"2, 3, 4 bhk apartment in sector 113, gurgaon","['swimming pool', 'salon', 'restaurant', 'spa', 'cafeteria', 'sun deck', '24x7 security', 'club house', 'gated community']","['bajghera road', 'palam vihar halt', 'dpsg palam vihar', 'park hospital', 'gurgaon railway station']","{'bajghera road': '800 meter', 'palam vihar halt': '2.5 km', 'dpsg palam vihar': '3.1 km', 'park hospital': '3.1 km', 'gurgaon railway station': '4.9 km', 'the northcap university': '5.4 km', 'dwarka expy': '1.2 km', 'hyatt place gurgaon udyog vihar': '7.7 km', 'dwarka sector 21, metro station': '7.2 km', 'pacific d21 mall': '7.4 km', 'indira gandhi international airport': '14.7 km', 'hamoni golf camp': '6.2 km', 'fun n food waterpark': '8.8 km', 'accenture ddc5': '9 km'}","{'2 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,370 sq.ft.', 'price-range': '₹ 2 - 2.4 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,850 - 2,050 sq.ft.', 'price-range': '₹ 2.25 - 3.59 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '2,600 sq.ft.', 'price-range': '₹ 3.24 - 4.56 cr'}}",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415,"2, 3, 4 bhk apartment in sector 113, gurgaon ['swimming pool', 'salon', 'restaurant', 'spa', 'cafeteria', 'sun deck', '24x7 security', 'club house', 'gated community'] ['bajghera road', 'palam vihar halt', 'dpsg palam vihar', 'park hospital', 'gurgaon railway station'] {'bajghera road': '800 meter', 'palam vihar halt': '2.5 km', 'dpsg palam vihar': '3.1 km', 'park hospital': '3.1 km', 'gurgaon railway station': '4.9 km', 'the northcap university': '5.4 km', 'dwarka expy': '1.2 km', 'hyatt place gurgaon udyog vihar': '7.7 km', 'dwarka sector 21, metro station': '7.2 km', 'pacific d21 mall': '7.4 km', 'indira gandhi international airport': '14.7 km', 'hamoni golf camp': '6.2 km', 'fun n food waterpark': '8.8 km', 'accenture ddc5': '9 km'} {'2 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,370 sq.ft.', 'price-range': '₹ 2 - 2.4 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,850 - 2,050 sq.ft.', 'price-range': '₹ 2.25 - 3.59 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '2,600 sq.ft.', 'price-range': '₹ 3.24 - 4.56 cr'}}"
m3m crown,"3, 4 bhk apartment in sector 111, gurgaon","['bowling alley', 'mini theatre', 'manicured garden', 'swimming pool', 'flower garden', 'reading lounge', 'golf course', 'barbecue', 'sauna']","['dpsg palam vihar gurugram', 'the northcap university', 'park hospital, palam vihar', 'pacific d21 mall', 'palam vihar halt railway station']","{'dpsg palam vihar gurugram': '1.4 km', 'the northcap university': '4.4 km', 'park hospital, palam vihar': '1.4 km', 'pacific d21 mall': '8.2 km', 'palam vihar halt railway station': '1.2 km', 'dwarka sector 21 metro station': '8.1 km', 'dwarka expressway': '450 m', 'fun n food water park': '8.1 km', 'indira gandhi international airport': '14.1 km', 'tau devilal sports complex': '11.2 km', 'hamoni golf camp': '5 km', 'hyatt place': '6.1 km', 'altrade business centre': '11.2 km'}","{'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,605 - 2,170 sq.ft.', 'price-range': '₹ 2.2 - 3.03 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,248 - 2,670 sq.ft.', 'price-range': '₹ 3.08 - 3.73 cr'}}",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068,"3, 4 bhk apartment in sector 111, gurgaon ['bowling alley', 'mini theatre', 'manicured garden', 'swimming pool', 'flower garden', 'reading lounge', 'golf course', 'barbecue', 'sauna'] ['dpsg palam vihar gurugram', 'the northcap university', 'park hospital, palam vihar', 'pacific d21 mall', 'palam vihar halt railway station'] {'dpsg palam vihar gurugram': '1.4 km', 'the northcap university': '4.4 km', 'park hospital, palam vihar': '1.4 km', 'pacific d21 mall': '8.2 km', 'palam vihar halt railway station': '1.2 km', 'dwarka sector 21 metro station': '8.1 km', 'dwarka expressway': '450 m', 'fun n food water park': '8.1 km', 'indira gandhi international airport': '14.1 km', 'tau devilal sports complex': '11.2 km', 'hamoni golf camp': '5 km', 'hyatt place': '6.1 km', 'altrade business centre': '11.2 km'} {'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,605 - 2,170 sq.ft.', 'price-range': '₹ 2.2 - 3.03 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,248 - 2,670 sq.ft.', 'price-range': '₹ 3.08 - 3.73 cr'}}"
adani brahma samsara vilasa,"land, 3, 4 bhk independent floor in sector 63, gurgaon","['terrace garden', 'gazebo', 'fountain', 'amphitheatre', 'party lawn', 'basketball court', 'badminton court', 'yoga/meditation area', 'indoor games']","['aipl business club sector 62', 'heritage xperiential learning school', 'ck birla hospital', 'paras trinity mall sector 63', 'rapid metro station sector 56']","{'aipl business club sector 62': '2.7 km', 'heritage xperiential learning school': '2 km', 'ck birla hospital': '2.5 km', 'paras trinity mall sector 63': '3.5 km', 'rapid metro station sector 56': '3.8 km', 'de adventure park': '6.8 km', 'golf course ext rd': '99 meter', 'doubletree by hilton hotel gurgaon': '3.6 km', 'kiit college of engineering sohna road': '8.4 km', 'mehrauli-gurgaon road': '11.8 km', 'indira gandhi international airport': '21.1 km', 'nirvana rd': '160 meter', 'teri golf course': '8.7 km'}","{'3 bhk': {'building_type': 'independent floor', 'area_type': 'super built-up area', 'area': '1,800 - 3,150 sq.ft.', 'price-range': '₹ 2.43 - 15.75 cr'}, '4 bhk': {'building_type': 'independent floor', 'area_type': 'super built-up area', 'area': '2,750 - 4,500 sq.ft.', 'price-range': '₹ 3.36 - 22.5 cr'}, 'land': {'building_type': '', 'area_type': 'plot area', 'area': '500 - 4,329 sq.ft.', 'price-range': '₹ 2.05 - 41.13 cr'}}",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995,"land, 3, 4 bhk independent floor in sector 63, gurgaon ['terrace garden', 'gazebo', 'fountain', 'amphitheatre', 'party lawn', 'basketball court', 'badminton court', 'yoga/meditation area', 'indoor games'] ['aipl business club sector 62', 'heritage xperiential learning school', 'ck birla hospital', 'paras trinity mall sector 63', 'rapid metro station sector 56'] {'aipl business club sector 62': '2.7 km', 'heritage xperiential learning school': '2 km', 'ck birla hospital': '2.5 km', 'paras trinity mall sector 63': '3.5 km', 'rapid metro station sector 56': '3.8 km', 'de adventure park': '6.8 km', 'golf course ext rd': '99 meter', 'doubletree by hilton hotel gurgaon': '3.6 km', 'kiit college of engineering sohna road': '8.4 km', 'mehrauli-gurgaon road': '11.8 km', 'indira gandhi international airport': '21.1 km', 'nirvana rd': '160 meter', 'teri golf course': '8.7 km'} {'3 bhk': {'building_type': 'independent floor', 'area_type': 'super built-up area', 'area': '1,800 - 3,150 sq.ft.', 'price-range': '₹ 2.43 - 15.75 cr'}, '4 bhk': {'building_type': 'independent floor', 'area_type': 'super built-up area', 'area': '2,750 - 4,500 sq.ft.', 'price-range': '₹ 3.36 - 22.5 cr'}, 'land': {'building_type': '', 'area_type': 'plot area', 'area': '500 - 4,329 sq.ft.', 'price-range': '₹ 2.05 - 41.13 cr'}}"
sobha city,"2, 3, 4 bhk apartment in sector 108, gurgaon","['swimming pool', 'volley ball court', 'aerobics centre', 'card room', 'barbecue', 'sauna', 'steam room', 'creche/day care', 'skating rink']","['the shikshiyan school', 'wtc plaza', 'luxus haritma resort', 'bsf golf course', 'dwarka expressway']","{'the shikshiyan school': '2.9 km', 'wtc plaza': '4 km', 'luxus haritma resort': '4.2 km', 'bsf golf course': '4.7 km', 'dwarka expressway': '5.1 km', 'rions hospital': '5.6 km', 'gurgaon': '5.9 km', 'the northcap university': '9.2 km', 'dwarka sector 21': '9.9 km', 'nehru stadium': '10.7 km', 'fun n food waterpark': '12.1 km', 'igi airport': '19.3 km', 'vasant kunj': '20.8 km'}","{'2 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,381 - 1,692 sq.ft.', 'price-range': '₹ 1.55 - 3.21 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,711 - 2,343 sq.ft.', 'price-range': '₹ 1.76 - 4.79 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,423 - 2,963 sq.ft.', 'price-range': '₹ 2.5 - 6.06 cr'}}",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111,"2, 3, 4 bhk apartment in sector 108, gurgaon ['swimming pool', 'volley ball court', 'aerobics centre', 'card room', 'barbecue', 'sauna', 'steam room', 'creche/day care', 'skating rink'] ['the shikshiyan school', 'wtc plaza', 'luxus haritma resort', 'bsf golf course', 'dwarka expressway'] {'the shikshiyan school': '2.9 km', 'wtc plaza': '4 km', 'luxus haritma resort': '4.2 km', 'bsf golf course': '4.7 km', 'dwarka expressway': '5.1 km', 'rions hospital': '5.6 km', 'gurgaon': '5.9 km', 'the northcap university': '9.2 km', 'dwarka sector 21': '9.9 km', 'nehru stadium': '10.7 km', 'fun n food waterpark': '12.1 km', 'igi airport': '19.3 km', 'vasant kunj': '20.8 km'} {'2 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,381 - 1,692 sq.ft.', 'price-range': '₹ 1.55 - 3.21 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,711 - 2,343 sq.ft.', 'price-range': '₹ 1.76 - 4.79 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,423 - 2,963 sq.ft.', 'price-range': '₹ 2.5 - 6.06 cr'}}"
signature global city 93,"2, 3 bhk independent floor in sector 93 gurgaon","['mini theatre', 'doctor on call', 'concierge service', 'swimming pool', 'bar/chill-out lounge', 'laundry', 'flower garden', 'reflexology park', 'salon']","['pranavananda int. school', 'dlf site central office', 'holiday inn gurugram sector 90', 'krishna hospital', 'royal institute of science']","{'pranavananda int. school': '450 m', 'dlf site central office': '1.2 km', 'holiday inn gurugram sector 90': '2 km', 'krishna hospital': '2.3 km', 'royal institute of science': '2.4 km', 'sapphire 83 mall': '6.3 km', 'nh48': '6.9 km', 'garhi harsaru junction': '7.2 km', 'manesar golf course': '7.3 km', 'aapnoghar': '9.6 km', 'igi airport': '31 km'}","{'2 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '981 - 1,118 sq.ft.', 'price-range': '₹ 93.01 l - 1.06 cr'}, '3 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '1,235 - 1,530 sq.ft.', 'price-range': '₹ 1.12 - 1.45 cr'}}",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,"2, 3 bhk independent floor in sector 93 gurgaon ['mini theatre', 'doctor on call', 'concierge service', 'swimming pool', 'bar/chill-out lounge', 'laundry', 'flower garden', 'reflexology park', 'salon'] ['pranavananda int. school', 'dlf site central office', 'holiday inn gurugram sector 90', 'krishna hospital', 'royal institute of science'] {'pranavananda int. school': '450 m', 'dlf site central office': '1.2 km', 'holiday inn gurugram sector 90': '2 km', 'krishna hospital': '2.3 km', 'royal institute of science': '2.4 km', 'sapphire 83 mall': '6.3 km', 'nh48': '6.9 km', 'garhi harsaru junction': '7.2 km', 'manesar golf course': '7.3 km', 'aapnoghar': '9.6 km', 'igi airport': '31 km'} {'2 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '981 - 1,118 sq.ft.', 'price-range': '₹ 93.01 l - 1.06 cr'}, '3 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '1,235 - 1,530 sq.ft.', 'price-range': '₹ 1.12 - 1.45 cr'}}"
whiteland the aspen,"3, 4, 5 bhk apartment in sector 76, gurgaon","['reflexology park', 'card room', 'high speed elevators', 'sauna', 'jacuzzi', 'spa', 'entrance lobby', 'yoga/meditation area', 'club house']","['vega schools nh-8', 'dlf corporate greens', 'miracles apollo cradle hospital', 'sapphire 83 mall', 'hyatt regency gurugram']","{'vega schools nh-8': '650 meter', 'dlf corporate greens': '6.2 km', 'miracles apollo cradle hospital': '6 km', 'sapphire 83 mall': '3.7 km', 'hyatt regency gurugram': '3.9 km', 'nh 48': '3.3 km', 'garhi harsaru junction': '11.1 km', 'indira gandhi international airport': '25.9 km', 'tau devilal sports complex': '10.4 km', 'golden greens golf & resorts limited': '9.2 km', 'de adventure park': '8.8 km'}","{'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,290 - 2,937 sq.ft.', 'price-range': '₹ 3.07 - 3.96 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '3,243 - 12,613 sq.ft.', 'price-range': '₹ 4.35 - 17.39 cr'}, '5 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '6,096 - 7,582 sq.ft.', 'price-range': '₹ 8.21 - 10.24 cr'}}",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309,"3, 4, 5 bhk apartment in sector 76, gurgaon ['reflexology park', 'card room', 'high speed elevators', 'sauna', 'jacuzzi', 'spa', 'entrance lobby', 'yoga/meditation area', 'club house'] ['vega schools nh-8', 'dlf corporate greens', 'miracles apollo cradle hospital', 'sapphire 83 mall', 'hyatt regency gurugram'] {'vega schools nh-8': '650 meter', 'dlf corporate greens': '6.2 km', 'miracles apollo cradle hospital': '6 km', 'sapphire 83 mall': '3.7 km', 'hyatt regency gurugram': '3.9 km', 'nh 48': '3.3 km', 'garhi harsaru junction': '11.1 km', 'indira gandhi international airport': '25.9 km', 'tau devilal sports complex': '10.4 km', 'golden greens golf & resorts limited': '9.2 km', 'de adventure park': '8.8 km'} {'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,290 - 2,937 sq.ft.', 'price-range': '₹ 3.07 - 3.96 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '3,243 - 12,613 sq.ft.', 'price-range': '₹ 4.35 - 17.39 cr'}, '5 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '6,096 - 7,582 sq.ft.', 'price-range': '₹ 8.21 - 10.24 cr'}}"
bestech altura,"3, 4 bhk apartment in sector 79, gurgaon","['swimming pool', 'football', 'flower garden', 'reading lounge', 'school', 'pergola', 'skating rink', 'grocery shop', 'squash court']","['mount olympus junior school', 'miracles apollo hospital', 'sapphire 83 mall', 'nh -8', 'savoy suites, manesar']","{'mount olympus junior school': '1 km', 'miracles apollo hospital': '4.8 km', 'sapphire 83 mall': '5.4 km', 'nh -8': '6.5 km', 'savoy suites, manesar': '6.9 km', 'golden greens golf & resorts': '8.2 km', 'imt manesar': '9.2 km', 'amity university gurugram': '12 km', 'golf course extension road': '13.6 km', 'indira gandhi international airport': '31 km'}","{'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,015 - 2,150 sq.ft.', 'price-range': '₹ 1.53 - 1.85 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,250 - 2,675 sq.ft.', 'price-range': '₹ 1.71 - 2.46 cr'}}",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010,"3, 4 bhk apartment in sector 79, gurgaon ['swimming pool', 'football', 'flower garden', 'reading lounge', 'school', 'pergola', 'skating rink', 'grocery shop', 'squash court'] ['mount olympus junior school', 'miracles apollo hospital', 'sapphire 83 mall', 'nh -8', 'savoy suites, manesar'] {'mount olympus junior school': '1 km', 'miracles apollo hospital': '4.8 km', 'sapphire 83 mall': '5.4 km', 'nh -8': '6.5 km', 'savoy suites, manesar': '6.9 km', 'golden greens golf & resorts': '8.2 km', 'imt manesar': '9.2 km', 'amity university gurugram': '12 km', 'golf course extension road': '13.6 km', 'indira gandhi international airport': '31 km'} {'3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,015 - 2,150 sq.ft.', 'price-range': '₹ 1.53 - 1.85 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,250 - 2,675 sq.ft.', 'price-range': '₹ 1.71 - 2.46 cr'}}"
elan the presidential,"3, 4, 5 bhk apartment in sector 106, gurgaon","['swimming pool', 'aerobics centre', 'shopping centre', 'video door security', 'amphitheatre', 'yoga/meditation area', 'cctv camera security', 'jogging track', '24x7 security']","['dwarka expy, sector 109', 'euro international school, sector- 109', 'jai sai ram hospital', 'aryan hospital', 'idea cosmic plaza']","{'dwarka expy, sector 109': '850 meter', 'euro international school, sector- 109': '1.9 km', 'jai sai ram hospital': '2.4 km', 'aryan hospital': '5.6 km', 'idea cosmic plaza': '6 km', 'the northcap university': '7.2 km', 'indira gandhi intl airport': '17.8 km', 'gurgaon railway station': '3.2 km'}","{'3 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,347 - 2,600 sq.ft.', 'price-range': '₹ 4.05 - 8.88 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,692 - 3,100 sq.ft.', 'price-range': '₹ 4.89 - 10.59 cr'}, '5 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '2,275 - 4,100 sq.ft.', 'price-range': '₹ 6 - 14 cr'}}",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451,"3, 4, 5 bhk apartment in sector 106, gurgaon ['swimming pool', 'aerobics centre', 'shopping centre', 'video door security', 'amphitheatre', 'yoga/meditation area', 'cctv camera security', 'jogging track', '24x7 security'] ['dwarka expy, sector 109', 'euro international school, sector- 109', 'jai sai ram hospital', 'aryan hospital', 'idea cosmic plaza'] {'dwarka expy, sector 109': '850 meter', 'euro international school, sector- 109': '1.9 km', 'jai sai ram hospital': '2.4 km', 'aryan hospital': '5.6 km', 'idea cosmic plaza': '6 km', 'the northcap university': '7.2 km', 'indira gandhi intl airport': '17.8 km', 'gurgaon railway station': '3.2 km'} {'3 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,347 - 2,600 sq.ft.', 'price-range': '₹ 4.05 - 8.88 cr'}, '4 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '1,692 - 3,100 sq.ft.', 'price-range': '₹ 4.89 - 10.59 cr'}, '5 bhk': {'building_type': 'apartment', 'area_type': 'carpet area', 'area': '2,275 - 4,100 sq.ft.', 'price-range': '₹ 6 - 14 cr'}}"
signature global city 92,"2, 3 bhk independent floor in sector 92, gurgaon","['swimming pool', 'reflexology park', 'terrace garden', 'waiting lounge', 'jacuzzi', 'skating rink', 'cricket pitch', 'sun deck', 'amphitheatre']","['royal institute of science & management', 'pataudi road', 'holiday inn sector 90', 'rps international school', 'garhi harsaru junction']","{'royal institute of science & management': '1.4 km', 'pataudi road': '3.3 km', 'holiday inn sector 90': '3.5 km', 'rps international school': '3.8 km', 'garhi harsaru junction': '3.9 km', 'aarvy healthcare hospital': '4 km', 'iris broadway mall': '4.8 km', 'imt manesar': '6.6 km', 'dwarka expressway': '6.6 km', 'indira gandhi intl airport': '32.5 km'}","{'2 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '959 - 1,145 sq.ft.', 'price-range': '₹ 1.26 - 1.51 cr'}, '3 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '1,091 - 1,535 sq.ft.', 'price-range': '₹ 86.46 l - 4.01 cr'}}",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657,"2, 3 bhk independent floor in sector 92, gurgaon ['swimming pool', 'reflexology park', 'terrace garden', 'waiting lounge', 'jacuzzi', 'skating rink', 'cricket pitch', 'sun deck', 'amphitheatre'] ['royal institute of science & management', 'pataudi road', 'holiday inn sector 90', 'rps international school', 'garhi harsaru junction'] {'royal institute of science & management': '1.4 km', 'pataudi road': '3.3 km', 'holiday inn sector 90': '3.5 km', 'rps international school': '3.8 km', 'garhi harsaru junction': '3.9 km', 'aarvy healthcare hospital': '4 km', 'iris broadway mall': '4.8 km', 'imt manesar': '6.6 km', 'dwarka expressway': '6.6 km', 'indira gandhi intl airport': '32.5 km'} {'2 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '959 - 1,145 sq.ft.', 'price-range': '₹ 1.26 - 1.51 cr'}, '3 bhk': {'building_type': 'independent floor', 'area_type': 'carpet area', 'area': '1,091 - 1,535 sq.ft.', 'price-range': '₹ 86.46 l - 4.01 cr'}}"
emaar digihomes,"2, 3 bhk apartment in sector 62, gurgaon","['mini theatre', 'swimming pool', 'salon', 'card room', 'restaurant', 'spa', 'creche/day care', 'banquet hall', 'lawn tennis court']","['imperia mindspace', 'aipl business tower', 'heritage school', 'lotus valley intl school, gurgaon', 'gurugram university']","{'imperia mindspace': '140 meter', 'aipl business tower': '160 meter', 'heritage school': '1.3 km', 'lotus valley intl school, gurgaon': '2.6 km', 'gurugram university': '3.6 km', 'sector 55-56 metro station': '3.9 km', 'park hospital': '5.5 km', 'omaxe gurgaon mall': '5.8 km', 'sushant university': '6.1 km', 'badshahpur sohna rd hwy,sector 48': '7.5 km', 'indira gandhi intl airport': '24.8 km'}","{'2 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,508.26 sq.ft.', 'price-range': '₹ 1.82 - 3.5 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,588.79 sq.ft.', 'price-range': '₹ 2 - 6.01 cr'}}",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369,"2, 3 bhk apartment in sector 62, gurgaon ['mini theatre', 'swimming pool', 'salon', 'card room', 'restaurant', 'spa', 'creche/day care', 'banquet hall', 'lawn tennis court'] ['imperia mindspace', 'aipl business tower', 'heritage school', 'lotus valley intl school, gurgaon', 'gurugram university'] {'imperia mindspace': '140 meter', 'aipl business tower': '160 meter', 'heritage school': '1.3 km', 'lotus valley intl school, gurgaon': '2.6 km', 'gurugram university': '3.6 km', 'sector 55-56 metro station': '3.9 km', 'park hospital': '5.5 km', 'omaxe gurgaon mall': '5.8 km', 'sushant university': '6.1 km', 'badshahpur sohna rd hwy,sector 48': '7.5 km', 'indira gandhi intl airport': '24.8 km'} {'2 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '1,508.26 sq.ft.', 'price-range': '₹ 1.82 - 3.5 cr'}, '3 bhk': {'building_type': 'apartment', 'area_type': 'super built-up area', 'area': '2,588.79 sq.ft.', 'price-range': '₹ 2 - 6.01 cr'}}"
